question_number,arabic,english
101,من هم قوم شعيب؟,Who were the people of Shu'ayb?
102,من هم قوم موسى؟,Who were the people of Moses?
103,من بنى الكعبة؟,Who built the Kaaba?
105,من هو النبي المعروف بالصبر؟,Which prophet is known for patience?
106,من كفل السيدة مريم؟,Who was the guardian of Lady Mary?
107,ما معنى الحطمة؟,What does 'Al‑Hutamah' mean?
108,من هو اخو سيدنا موسى؟,Who is the brother of Prophet Moses?
109,ما معنى القارعة؟,What does 'Al‑Qariʿah' mean?
110,ما معنى الجاثية؟,What does 'Al‑Jathiyah' mean?
111,من هم الاسباط؟,Who are the tribes (al‑Asbāṭ)?
112,من هي ملكة سبأ؟,Who was the Queen of Sheba?
115,من هم الذين عقروا الناقة؟,Who hamstrung the she‑camel?
116,ما عقوبة الربا؟,What is the punishment for usury?
118,ما هي عقوبة السارق في الدنيا؟,What is the worldly penalty for theft?
119,ما هي الشجرة الملعونة؟,What is the accursed tree?
120,من هو النبي الذي علمه الله لغة الطير والحيوان؟,Which prophet was taught the language of birds and animals?
121,ما هو ميراث الام عن ولدها إن لم يكن له ولد؟,What is a mother's inheritance share from her son if he has no children?
122,كم ليلة امر الله زكريا الا يكلم الناس؟,For how many nights did God command Zakariyya not to speak?
123,كم مدة عدّة المطلقة؟,What is the waiting period (ʿiddah) for a divorced woman?
125,كم عدد الاشهر الحرم؟,How many are the sacred months?
127,ما هي الشجرة التي يأكل منها الكفار في النار؟,What is the tree from which unbelievers will eat in Hell?
128,من هو النبي الذى دخل السجن؟,Which prophet was imprisoned?
129,ما هو الجبل الذي استقرت عليه سفينة نوح؟,On which mountain did Noah’s Ark rest?
132,كم فترة رضاعة المولود؟,What is the breastfeeding period for a child?
133,أين كانت رحلة الاسراء والمعراج؟,Where did the Isrāʾ and Miʿrāj journey occur?
136,ما حكم التعدد في الزواج؟,What is the ruling on polygamy?
137,من هو ابن زكريا؟,Who is the son of Zakariyya?
138,من الذي لبث في بطن الحوت؟,Who remained in the belly of the whale?
139,ما هي عقوبة القتل خطأ؟,What is the penalty for manslaughter?
140,ما هي عقوبة القتل العمد؟,What is the penalty for intentional murder?
141,من هم المطففون؟,Who are the defrauders (Al‑Muṭaffifīn)?
142,كم عدد حملة العرش؟,How many bearers hold the Throne?
